Time,Flow,LeaveTemp,EnterTemp,kWE
2022-03-22 18:54,14.32231522,5.52999115,9.950012207,37.21518939
2022-03-22 18:49,13.95601463,5.519996643,10.1000061,39.49366944
2022-03-22 18:44,14.02927399,5.569992065,10.40000916,40.00000048
2022-03-22 18:39,13.88275528,5.749992371,10.70001221,42.97467968
2022-03-22 18:34,14.1757946,5.749992371,11.05000305,39.3037965
2022-03-22 18:29,13.69960403,5.66999054,10.70001221,37.91139096
2022-03-22 18:24,14.13916397,5.579994202,10.30000305,37.91139096
2022-03-22 18:19,14.08421898,5.499992371,10.5,39.36708909
2022-03-22 18:14,13.88275528,5.629997253,10.30000305,41.26582085
2022-03-22 18:09,13.919384,5.479995728,10.70001221,37.97468354
2022-03-22 18:04,14.23073959,5.579994202,10.8500061,40.82278481
2022-03-22 17:59,14.04759026,5.499992371,10.6000061,39.49366944
2022-03-22 17:54,14.48715019,5.369995117,10.90000916,45.44303508
2022-03-22 17:49,15.95235062,5.399993896,10.5,52.53164557
2022-03-22 17:44,14.8900795,5.679992676,11.65000916,48.67088222
2022-03-22 17:39,14.74355888,5.749992371,11.6000061,55.37974684
2022-03-22 17:34,16.30033493,5.399993896,11.45001221,52.34177022
2022-03-22 17:29,18.18677902,5.499992371,11.30000305,66.07595032
2022-03-22 17:24,18.5530777,5.769996643,11.40000916,59.49367089
2022-03-22 17:19,18.36993027,5.449996948,11.45001221,60.3164528
2022-03-22 17:14,20.07322311,5.579994202,11.25,69.49366797
2022-03-22 17:09,20.47615433,5.369995117,11,62.7848082
2022-03-22 17:04,19.2673645,5.77999115,11.5,69.36708766
2022-03-22 16:59,19.2124176,5.66999054,11.3500061,61.77215093
2022-03-22 16:54,19.28567886,5.599990845,11.30000305,63.29113924
2022-03-22 16:49,18.02194214,5.749992371,11.55000305,65.37974392
2022-03-22 16:44,17.56406784,5.469993591,11.6000061,58.29113827
2022-03-22 16:39,19.17578888,5.649993896,11.40000916,69.11392209
2022-03-22 16:34,19.52377319,5.729995728,11.25,62.4683525
2022-03-22 16:29,18.86443329,5.41999054,11.5,69.30379747
2022-03-22 16:24,20.09153748,5.519996643,11.30000305,70.94936614
2022-03-22 16:19,21.62999725,5.449996948,11.30000305,73.22784614
2022-03-22 16:14,21.39190292,5.869995117,11.55000305,78.16455696
2022-03-22 16:09,20.78750992,5.799995422,11.45001221,66.07595032
2022-03-22 16:04,19.12084579,5.969993591,11.70001221,69.49366797
2022-03-22 15:59,18.00362778,5.869995117,11.65000916,57.65822688
2022-03-22 15:54,18.26004028,5.479995728,11.3500061,62.59493285
2022-03-22 15:49,19.96333313,5.369995117,11.15000916,71.83544304
2022-03-22 15:44,21.08054733,5.299995422,11.05000305,71.07594646
2022-03-22 15:39,21.3552742,5.719993591,11.55000305,83.4177138
2022-03-22 15:34,21.95966721,5.679992676,11.30000305,73.67088703
2022-03-22 15:29,21.94135284,5.479995728,11.30000305,78.79746835
2022-03-22 15:24,21.90472412,5.599990845,11.25,79.55696006
2022-03-22 15:19,21.8680954,5.569992065,11.45001221,75.06329019
2022-03-22 15:14,21.88640976,5.66999054,11.5,92.97467968
2022-03-22 15:09,21.95966721,5.41999054,11.6000061,89.30379165
2022-03-22 15:04,21.79483414,5.269996643,11.80000305,98.92404291
2022-03-22 14:59,20.92303848,5.469993591,12.15000916,112.8480935
2022-03-22 14:54,22.08787537,6.599990845,13,103.6708784
2022-03-22 14:49,22.25563965,8.479995728,14.75,70.12657937
2022-03-22 14:44,22.05490494,14.37999725,14.30000305,7.278481013
2022-03-22 14:39,0.146505356,13.91999054,13.8500061,7.278481013
2022-03-22 14:34,0.128190041,13.8999939,13.8500061,7.278481013
2022-03-22 14:29,20.49446869,13.81999207,13.75,7.278481013
2022-03-22 14:24,0.128190041,13.09999084,13.1000061,7.278481013
2022-03-22 14:19,0.128190041,13.09999084,13.05000305,7.278481013
2022-03-22 14:14,0.128190041,13.0799942,13,7.341771791
2022-03-22 14:09,0.146505356,13.02999115,12.95001221,7.278481013
2022-03-22 14:04,14.94502449,12.97999573,12.8500061,7.278481013
2022-03-22 13:59,14.30399895,13.09999084,12.95001221,7.278481013
2022-03-22 13:54,14.06590462,13.09999084,12.95001221,7.278481013
2022-03-22 13:49,14.08421898,13.12999725,12.95001221,7.278481013
2022-03-22 13:44,14.08421898,13.09999084,12.95001221,7.278481013
2022-03-22 13:39,13.99264526,12.92999268,12.75,7.278481013
2022-03-22 13:34,14.04759026,12.87999725,12.75,7.278481013
2022-03-22 13:29,14.02927399,12.84999084,12.70001221,7.278481013
2022-03-22 13:24,14.15748024,12.91999054,12.75,7.278481013
2022-03-22 13:19,14.6336689,12.96999359,12.80000305,7.278481013
2022-03-22 13:14,14.74355888,12.97999573,12.8500061,7.278481013
2022-03-22 13:09,13.97432899,13.01999664,12.8500061,7.278481013
2022-03-22 13:04,14.01095963,13.01999664,12.8500061,7.278481013
2022-03-22 12:59,14.01095963,12.91999054,12.75,7.278481013
2022-03-22 12:54,13.97432899,12.86999512,12.70001221,7.278481013
2022-03-22 12:49,14.10253525,12.91999054,12.75,7.278481013
2022-03-22 12:44,14.08421898,12.99999237,12.8500061,7.278481013
2022-03-22 12:39,14.08421898,12.99999237,12.8500061,7.278481013
2022-03-22 12:34,14.10253525,13.01999664,12.8500061,7.278481013
2022-03-22 12:29,14.06590462,12.97999573,12.8500061,7.341771791
2022-03-22 12:24,14.08421898,12.92999268,12.80000305,7.278481013
2022-03-22 12:19,14.04759026,12.8999939,12.75,7.278481013
2022-03-22 12:14,14.06590462,12.76999664,12.6000061,7.278481013
2022-03-22 12:09,14.06590462,12.69999695,12.55000305,7.278481013
2022-03-22 12:04,14.02927399,12.67999268,12.5,7.278481013
2022-03-22 11:59,14.02927399,12.67999268,12.5,7.278481013
2022-03-22 11:54,13.919384,12.61999512,12.45001221,7.278481013
2022-03-22 11:49,13.95601463,12.61999512,12.45001221,7.278481013
2022-03-22 11:44,14.02927399,12.69999695,12.55000305,7.278481013
2022-03-22 11:39,14.02927399,12.67999268,12.55000305,7.278481013
2022-03-22 11:34,14.02927399,12.71999359,12.55000305,7.278481013
2022-03-22 11:29,14.10253525,12.71999359,12.6000061,7.278481013
2022-03-22 11:24,14.04759026,12.61999512,12.45001221,7.278481013
2022-03-22 11:19,13.97432899,12.56999207,12.45001221,7.278481013
2022-03-22 11:14,13.97432899,12.44999695,12.3500061,7.278481013
2022-03-22 11:09,14.02927399,12.41999054,12.25,7.278481013
2022-03-22 11:04,14.02927399,12.42999268,12.30000305,7.278481013
2022-03-22 10:59,14.12084961,12.42999268,12.30000305,7.278481013
2022-03-22 10:54,14.04759026,12.52999115,12.3500061,7.278481013
2022-03-22 10:49,14.06590462,12.47999573,12.3500061,7.278481013
2022-03-22 10:44,14.02927399,12.3999939,12.30000305,7.278481013
2022-03-22 10:39,13.95601463,12.27999115,12.15000916,7.278481013
2022-03-22 10:34,13.919384,12.27999115,12.1000061,7.278481013
2022-03-22 10:29,13.97432899,12.36999512,12.20001221,7.278481013
2022-03-22 10:24,13.99264526,12.41999054,12.25,7.278481013
2022-03-22 10:19,14.02927399,12.42999268,12.30000305,7.278481013
2022-03-22 10:14,14.08421898,12.46999359,12.30000305,7.278481013
2022-03-22 10:09,14.12084961,12.36999512,12.20001221,7.341771791
2022-03-22 10:04,14.08421898,12.29999542,12.15000916,7.278481013
